,SampleID,mAge_Hovath,mAge_Hannum,PhenoAge
215,200715340013_R07C01,33.9396472806504,40.2131942573918,18.817834304907
216,200715340013_R08C01,33.5826538209799,46.1668643101785,12.9112541626724
217,200712160042_R01C01,63.1561934890114,72.8845025653871,58.8566608128693
218,200712160042_R02C01,61.573728513654,66.9042449090843,49.7182277550413
219,200712160042_R03C01,55.9189082722026,60.0346969798262,39.4902766114367
220,200712160042_R04C01,58.6047496902421,64.2073579037417,43.0259895485072
221,200712160042_R05C01,34.6446944388118,39.4703484944245,9.06357839927202
222,200712160042_R06C01,38.4122267717769,40.5855803033117,17.7828463447089
223,200712160042_R07C01,40.7363505901482,43.4982335588761,23.5662242751096
224,200712160042_R08C01,39.3503374222092,49.1720011349107,31.2730863450308
225,200705360049_R01C01,69.4792129274805,72.5981583730397,56.286663787479
226,200705360049_R02C01,72.2129040006739,79.2428093877781,59.5041760441031
227,200705360049_R03C01,40.3651822679991,41.2286949818877,21.33504740016
228,200705360049_R04C01,43.6139117667384,49.132983930797,24.2076825798329
229,200705360049_R05C01,33.9520464104988,47.8581117453214,25.6890926801834
230,200705360049_R06C01,37.9295363573861,45.1618614845948,21.1489974546746
231,200705360049_R07C01,51.148484102256,53.101878962123,40.1263345220768
232,200705360049_R08C01,49.4643962808809,57.0249374039101,39.3236879038502
233,200705940062_R01C01,44.985548416258,49.1560321835721,30.2926520432123
234,200705940062_R02C01,41.8321218066259,49.3876317225194,29.1823565299899
235,200705940062_R03C01,39.5569148351061,42.9516656524742,26.5879364554965
236,200705940062_R04C01,43.6910601977702,48.5695963204718,19.8860168250739
237,200705940062_R05C01,52.1149457646934,58.7464297039238,38.9951575559435
238,200705940062_R07C01,63.6226019878641,73.0298537108738,54.3496243572739
239,200705940062_R08C01,61.6389761316006,72.5379998340386,51.7611521458972
240,200705360025_R01C01,49.2842500315311,60.3826137837774,29.6319828546426
241,200705360025_R02C01,49.1246080305599,53.0348109738752,31.4331904194635
242,200705360025_R03C01,32.4769539578165,39.8217696862026,20.0282588101625
243,200705360025_R04C01,34.3336564773607,42.3400592836234,22.9118864510467
244,200705360025_R05C01,67.6835647539906,70.9501751973726,54.9144455526333
245,200705360025_R06C01,64.8598609816342,73.9652121683296,55.4380950859096
246,200705360025_R07C01,60.8112713419326,63.5126064805162,52.2215517256165
247,200705360025_R08C01,60.4050262903153,65.6780757968819,50.0912267282132
248,200705360050_R01C01,49.6382626219816,57.1388866782189,34.196529260363
249,200705360050_R02C01,52.1596847195363,58.5249743116666,35.4479291531282
250,200705360050_R03C01,64.4931466230577,65.6052289262548,44.023663863573
251,200705360050_R04C01,60.5067688066918,68.4113627722185,49.8226278536016
252,200705360050_R05C01,49.8547746968181,56.5538946605821,34.3978769606293
253,200705360050_R06C01,57.8379151137321,58.2063729536185,36.055989094959
254,200705360050_R07C01,43.7658700037832,46.0629520471983,20.1730871203753
255,200705360050_R08C01,48.4303910933351,50.5732250648779,36.8219400652226
256,200705360032_R01C01,37.295307059257,45.7603880518256,17.420349842362
257,200705360032_R02C01,38.903960795222,43.2458342813788,16.4506379503535
258,200705360032_R03C01,68.2583320371239,68.8267904370356,50.3392713180364
259,200705360032_R04C01,65.4836056857596,66.7437198254037,44.1301476584547
260,200705360032_R05C01,41.4118773903089,42.0310038338922,28.5787482770288
261,200705360032_R06C01,40.1150237100663,43.2181179533564,24.3283470772407
262,200705360032_R07C01,55.2389213366335,66.1595719685851,42.788419581869
263,200705360032_R08C01,59.3438675595468,64.6147742726041,46.9697719666128
264,200705360106_R01C01,73.2062665869817,83.3534397090974,67.8033115848273
265,200705360106_R02C01,70.1296854325013,76.064339031731,61.9798028863365
